,miRNA,Plasma_C1,Plasma_C2,Plasma_C3,Plasma_C4,Plasma_C5,Plasma_C6,Plasma_HP01_T,Plasma_HP02_T,Plasma_HP03_T,Plasma_HP04_T,Plasma_HP01_T,Tissue_HP01_T,Tissue_HP02_T,Tissue_HP03_T,Tissue_HP04_T,Tissue_HP05_T,Tissue_HP01_N,Tissue_HP03_N,Tissue_HP04_N,Tissue_HP05_N
175,hsa-miR-1292-3p,37,122,76,128,91,114,14,22,16,12,10,0,0,0,0,0,0,19,12,0
176,hsa-miR-1292-5p,38,114,74,174,313,223,25,30,11,0,14,162,57,74,248,58,49,27,83,109
177,hsa-miR-1293,56,50,74,88,171,410,44,33,27,0,0,13,0,23,0,13,0,17,0,11
178,hsa-miR-1294,43,57,46,84,109,138,19,14,0,10,47,0,13,12,19,11,0,11,0,18
179,hsa-miR-1295a,10,21,26,21,88,73,11,13,0,0,0,18,24,0,13,0,0,14,0,14
180,hsa-miR-1295b-3p,10,36,45,38,66,93,12,11,0,0,0,0,0,0,0,0,0,0,0,0
181,hsa-miR-1296-3p,12,95,67,72,135,139,0,10,12,0,0,0,0,0,0,0,0,0,0,0
182,hsa-miR-1296-5p,0,34,29,39,67,82,0,0,0,0,11,123,215,55,125,146,30,20,20,38
183,hsa-miR-1297,0,16,27,10,69,59,0,0,0,0,0,0,13,0,10,0,0,0,0,0
184,hsa-miR-1298-3p,15,18,28,21,56,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,hsa-miR-1298-5p,135,690,901,832,134,114,18,16,18,19,17,0,0,0,12,0,0,10,0,0
186,hsa-miR-1299,21,30,33,49,116,142,18,16,0,0,14,33,22,14,108,10,67,35,276,28
187,hsa-miR-1301-3p,28,231,77,75,131,177,33,16,0,0,15,89,109,79,315,33,111,24,79,70
188,hsa-miR-1301-5p,0,13,11,13,34,38,0,0,0,0,11,0,0,0,0,0,0,11,0,0
189,hsa-miR-1302,10,19,27,25,46,49,0,22,0,0,0,0,0,0,0,0,0,0,0,0
190,hsa-miR-1303,22,73,90,66,90,112,29,0,0,0,0,60,68,31,62,39,26,241,31,34
191,hsa-miR-1304-3p,10,79,60,65,100,134,0,18,22,0,0,0,0,23,32,0,0,42,0,0
192,hsa-miR-1304-5p,32,110,141,124,111,135,19,0,0,23,0,15,21,78,71,19,39,31,23,35
193,hsa-miR-1305,12,14,14,27,77,89,0,10,0,0,0,0,10,0,0,0,0,16,0,0
194,hsa-miR-1306-3p,12,41,79,39,202,253,29,24,0,0,17,22,32,20,75,42,16,24,31,20
195,hsa-miR-1306-5p,104,222,301,178,155,196,78,48,40,44,35,41,37,44,48,62,19,0,0,27
196,hsa-miR-1307-3p,370,604,772,584,460,668,545,148,216,305,275,1299,1015,2953,2278,1601,1065,286,1089,867
197,hsa-miR-1307-5p,32,212,231,253,280,385,0,19,25,0,137,212,782,447,1121,205,219,118,648,593
198,hsa-miR-130a-3p,29,169,258,207,217,344,13,18,10,13,24,934,3987,258,2313,365,691,104,826,1268
199,hsa-miR-130a-5p,26,160,187,261,109,92,0,19,17,0,14,0,0,0,0,0,0,0,0,0
200,hsa-miR-130b-3p,29,112,135,141,130,169,24,19,27,0,20,133,769,361,733,602,489,175,555,860
201,hsa-miR-130b-5p,22,54,63,43,139,129,11,0,0,0,0,67,144,51,213,57,229,25,198,186
202,hsa-miR-132-3p,36,100,92,94,156,225,146,0,26,46,40,5101,5442,1887,10529,1483,4150,682,4373,2367
203,hsa-miR-132-5p,19,141,34,55,58,68,0,15,11,0,0,581,724,199,1440,195,319,62,394,412
204,hsa-miR-1321,0,11,0,26,30,43,0,0,0,0,0,0,0,0,0,0,0,14,0,0
205,hsa-miR-1322,12,44,0,33,44,56,0,11,0,0,0,0,0,0,0,0,0,15,0,0
206,hsa-miR-1323,0,23,17,12,31,27,0,0,0,0,0,0,0,0,75,0,0,0,0,0
207,hsa-miR-1324,0,68,14,29,34,61,0,0,0,0,0,0,0,0,0,0,0,19,0,0
208,hsa-miR-133a-3p,30,73,133,117,135,175,18,0,0,16,10,86,189,12,285,38,19,92,68,127
