,miRNA,Plasma_C1,Plasma_C2,Plasma_C3,Plasma_C4,Plasma_C5,Plasma_C6,Plasma_HP01_T,Plasma_HP02_T,Plasma_HP03_T,Plasma_HP04_T,Plasma_HP01_T,Tissue_HP01_T,Tissue_HP02_T,Tissue_HP03_T,Tissue_HP04_T,Tissue_HP05_T,Tissue_HP01_N,Tissue_HP03_N,Tissue_HP04_N,Tissue_HP05_N
1936,hsa-miR-6503-5p,32,55,57,98,191,300,18,18,0,0,0,11,26,14,21,0,0,16,10,19
1937,hsa-miR-6504-3p,10,18,20,14,47,40,0,0,0,0,0,13,0,35,39,20,10,1940,0,51
1938,hsa-miR-6504-5p,0,0,0,13,22,21,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1939,hsa-miR-6505-3p,17,22,22,24,98,114,10,0,0,0,0,0,0,0,0,0,0,26,0,0
1940,hsa-miR-6505-5p,10,55,24,27,67,86,24,13,0,12,0,0,0,0,0,0,0,10,0,0
1941,hsa-miR-6506-3p,0,35,16,23,41,53,0,0,0,0,0,0,0,0,0,0,0,10,0,11
1942,hsa-miR-6506-5p,0,16,18,20,88,87,14,12,0,0,0,0,0,0,0,0,0,10,0,0
1943,hsa-miR-6507-3p,0,29,25,26,79,74,0,0,0,0,0,0,0,0,12,0,0,18,0,11
1944,hsa-miR-6507-5p,49,247,209,203,178,170,31,41,17,12,40,0,0,0,13,0,0,32,0,0
1945,hsa-miR-6508-3p,0,12,10,11,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1946,hsa-miR-6508-5p,13,21,18,24,28,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1947,hsa-miR-6509-3p,15,95,36,37,138,163,0,10,0,0,0,0,0,0,24,0,0,24,0,14
1948,hsa-miR-6509-5p,0,16,0,11,21,16,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1949,hsa-miR-651-3p,0,12,12,20,34,70,0,10,0,0,0,0,0,0,0,0,0,10,0,0
1950,hsa-miR-651-5p,44,96,120,126,63,68,0,0,15,0,0,32,115,63,90,66,56,19,56,96
1951,hsa-miR-6510-3p,0,25,0,15,62,44,0,14,0,0,0,10,57,0,0,12,0,16,0,10
1952,hsa-miR-6510-5p,11,56,39,60,118,165,10,16,0,0,0,0,0,0,0,0,0,38,0,0
1953,hsa-miR-6511a-3p,39,29,25,39,41,52,11,12,0,0,0,10,15,0,26,12,0,11,0,0
1954,hsa-miR-6511a-5p,0,58,30,59,169,244,0,15,0,0,0,0,0,0,0,0,0,13,0,0
1955,hsa-miR-6511b-3p,10,35,30,34,109,87,0,0,0,0,0,14,0,0,20,0,0,10,0,0
1956,hsa-miR-6511b-5p,10,108,38,74,383,536,14,17,0,0,0,0,0,0,0,0,0,0,0,0
1957,hsa-miR-6512-3p,23,25,43,55,82,71,25,33,0,0,0,0,0,0,13,0,0,18,0,0
1958,hsa-miR-6512-5p,14,22,30,37,53,58,0,0,0,0,0,0,0,0,12,0,0,23,0,0
1959,hsa-miR-6513-3p,0,48,23,27,82,85,18,38,15,0,0,19,34,13,16,0,0,0,0,0
1960,hsa-miR-6513-5p,11,19,37,27,98,88,0,20,21,0,0,0,0,0,0,0,0,18,0,0
1961,hsa-miR-6514-3p,179,343,220,595,147,188,0,16,32,24,16,0,0,0,0,10,0,15,0,0
1962,hsa-miR-6514-5p,13,26,21,37,115,128,0,30,13,0,0,12,0,10,17,13,0,0,0,0
1963,hsa-miR-6515-3p,14,36,54,33,307,438,11,11,0,0,16,0,0,0,12,0,0,20,0,0
1964,hsa-miR-6515-5p,46,156,131,188,546,312,28,19,0,26,20,0,0,11,21,0,0,0,14,12
1965,hsa-miR-6516-3p,13,74,78,141,39,36,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1966,hsa-miR-6516-5p,0,13,28,26,48,66,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1967,hsa-miR-652-3p,28,115,210,77,121,187,31,0,0,0,18,133,219,164,252,211,246,66,401,275
1968,hsa-miR-652-5p,0,19,25,35,49,45,0,0,0,0,0,14,21,29,18,16,11,11,11,25
1969,hsa-miR-653-3p,88,85,77,82,135,70,15,80,0,0,0,14,59,0,165,0,10,0,0,12
1970,hsa-miR-653-5p,10,39,32,43,63,69,11,0,0,0,0,69,173,12,765,34,39,18,27,60
1971,hsa-miR-654-3p,56,202,143,166,462,644,73,40,26,29,0,1622,1855,69,95,501,1229,45,1037,1161
1972,hsa-miR-654-5p,0,46,40,28,32,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,hsa-miR-655-3p,0,13,17,18,51,92,0,15,0,0,0,17,36,0,0,0,17,0,12,14
1974,hsa-miR-655-5p,0,16,12,16,30,40,0,13,0,0,0,0,0,0,0,0,0,0,0,0
1975,hsa-miR-656-3p,0,20,16,22,70,65,0,14,0,0,0,19,42,0,12,0,0,11,17,0
1976,hsa-miR-656-5p,0,83,68,74,63,61,10,0,0,15,0,0,0,0,0,0,0,0,0,11
1977,hsa-miR-657,16,46,40,67,232,343,13,19,0,10,0,0,0,0,17,0,0,12,0,0
1978,hsa-miR-658,28,49,55,45,262,241,29,35,0,0,12,0,0,0,11,0,0,87,10,0
1979,hsa-miR-659-3p,0,41,20,11,54,52,0,0,13,0,0,0,0,0,0,0,0,0,0,0
1980,hsa-miR-659-5p,14,80,53,54,124,97,10,0,0,0,18,17,15,0,30,13,14,22,0,25
1981,hsa-miR-660-3p,41,72,80,87,81,120,0,0,13,0,0,0,0,0,0,0,0,14,0,10
1982,hsa-miR-660-5p,122,215,509,455,404,732,270,39,58,242,164,1993,3825,594,3725,1200,885,416,1720,3157
1983,hsa-miR-661,14,31,38,56,59,64,12,0,0,0,0,0,0,0,0,0,0,59,0,0
1984,hsa-miR-662,20,149,160,138,176,261,10,29,0,0,17,0,0,0,11,0,0,0,0,0
1985,hsa-miR-663a,14,67,68,57,101,125,17,0,10,0,0,70,82,110,35,61,127,2959,589,145
1986,hsa-miR-663b,12,72,67,74,81,104,23,16,0,0,0,0,0,0,0,0,0,21,11,12
1987,hsa-miR-664a-3p,31,96,106,123,243,271,26,16,24,0,15,205,332,51,228,71,185,64,120,138
1988,hsa-miR-664a-5p,73,130,109,121,227,316,105,78,67,84,42,352,466,178,449,386,331,56,578,681
1989,hsa-miR-664b-3p,0,25,24,20,60,58,0,0,0,0,0,19,24,13,56,0,34,0,0,25
1990,hsa-miR-664b-5p,22,47,38,68,112,129,25,30,16,0,26,16,13,25,34,41,33,12,31,34
1991,hsa-miR-665,0,22,10,11,70,100,0,0,0,0,0,14,29,0,11,0,0,30,27,36
1992,hsa-miR-668-3p,71,466,359,349,170,166,23,20,13,10,0,23,0,0,0,10,11,0,0,18
1993,hsa-miR-668-5p,0,17,27,30,43,81,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1994,hsa-miR-670-3p,12,44,45,39,63,76,0,0,0,0,0,16,10,0,15,0,0,12,0,0
1995,hsa-miR-670-5p,0,11,13,10,109,84,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1996,hsa-miR-671-3p,22,26,22,29,71,108,17,0,0,12,11,116,212,161,205,81,71,26,33,43
1997,hsa-miR-671-5p,97,240,352,300,155,208,27,0,27,14,0,843,2744,1360,3510,525,730,107,2273,1194
1998,hsa-miR-6715a-3p,0,37,38,41,57,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,hsa-miR-6715b-3p,18,40,68,55,92,98,0,0,0,0,0,0,0,0,13,0,0,15,0,0
2000,hsa-miR-6715b-5p,71,365,433,351,158,182,13,24,36,0,12,0,0,0,0,0,0,0,0,0
2001,hsa-miR-6716-3p,16,90,82,118,149,200,0,31,11,0,17,51,42,18,56,28,14,21,14,20
2002,hsa-miR-6716-5p,12,117,88,64,89,122,0,12,29,16,0,0,0,0,0,0,0,0,0,0
2003,hsa-miR-6717-5p,162,385,275,495,831,822,49,80,32,42,22,0,0,10,13,11,0,34,0,0
2004,hsa-miR-6718-5p,0,27,32,26,71,70,0,11,0,0,0,0,0,0,17,0,0,0,0,0
2005,hsa-miR-6719-3p,11,17,64,20,45,79,12,15,0,0,0,0,0,0,0,0,0,19,0,12
2006,hsa-miR-6720-3p,10,31,34,37,112,155,0,0,0,0,0,10,0,0,18,0,0,14,0,0
2007,hsa-miR-6720-5p,27,109,68,96,132,195,20,0,0,0,0,0,10,0,19,0,0,44,0,11
2008,hsa-miR-6721-5p,41,33,39,42,131,214,31,53,0,0,0,0,0,0,0,0,0,20,0,0
2009,hsa-miR-6722-3p,15,45,48,38,71,122,17,0,0,0,0,0,0,0,0,0,0,22,0,0
2010,hsa-miR-6722-5p,11,52,39,32,83,92,50,18,15,44,35,0,0,0,0,0,0,34,0,0
2011,hsa-miR-6723-5p,0,41,30,36,89,120,0,0,0,0,0,0,0,0,21,15,0,21,0,13
2012,hsa-miR-6724-5p,24,155,67,74,128,167,0,0,0,0,12,43,22,71,66,20,80,4736,291,125
2013,hsa-miR-6726-3p,23,37,52,40,257,267,17,0,0,0,0,0,0,0,14,0,0,12,0,0
2014,hsa-miR-6726-5p,16,61,13,24,102,114,19,18,10,0,0,0,0,0,0,0,0,23,0,0
2015,hsa-miR-6727-3p,15,40,34,43,188,235,13,14,0,0,0,0,0,0,0,0,0,23,0,0
2016,hsa-miR-6727-5p,0,33,20,31,63,105,17,0,0,0,0,0,0,0,13,0,0,80,0,0
2017,hsa-miR-6728-3p,0,15,13,17,45,66,0,17,0,0,0,0,0,0,14,0,0,11,0,0
2018,hsa-miR-6728-5p,40,176,110,126,463,493,72,94,31,24,0,15,0,0,0,0,0,15,0,0
2019,hsa-miR-6729-3p,41,125,79,184,316,336,34,16,10,0,0,0,0,0,0,0,0,16,0,0
2020,hsa-miR-6729-5p,38,200,171,167,149,247,11,24,18,13,15,0,0,0,0,0,0,0,10,0
2021,hsa-miR-6730-3p,0,0,0,13,37,27,0,0,0,0,0,0,0,0,0,0,0,169,0,0
2022,hsa-miR-6730-5p,10,44,45,45,118,113,10,19,10,0,0,0,0,0,10,0,0,22,0,0
2023,hsa-miR-6731-3p,197,426,564,476,308,451,15,22,39,56,12,0,0,0,17,0,0,20,0,0
2024,hsa-miR-6731-5p,40,179,197,147,203,276,25,22,0,0,10,0,0,0,0,0,0,12,0,0
2025,hsa-miR-6732-3p,32,95,29,28,216,206,35,56,0,0,13,0,0,0,10,0,0,18,0,12
2026,hsa-miR-6732-5p,0,20,0,16,34,44,0,0,0,0,0,0,0,0,0,0,0,15,0,0
2027,hsa-miR-6733-3p,17,41,40,40,107,116,14,0,0,0,0,0,0,0,10,0,0,15,0,0
2028,hsa-miR-6733-5p,0,17,14,21,77,106,0,20,0,0,0,0,11,0,0,0,0,14,0,0
2029,hsa-miR-6734-3p,15,53,35,47,156,175,13,11,0,0,0,10,0,0,18,0,0,21,0,12
2030,hsa-miR-6734-5p,38,81,77,100,202,243,0,0,20,0,0,10,16,13,11,0,16,11,11,16
2031,hsa-miR-6735-3p,83,399,524,377,92,110,0,0,17,13,10,0,0,0,0,0,0,10,0,0
2032,hsa-miR-6735-5p,15,45,32,41,112,127,10,10,0,0,0,0,11,0,10,11,0,30,0,0
2033,hsa-miR-6736-3p,14,15,20,19,92,86,11,0,16,0,0,0,0,0,15,0,0,22,10,0
2034,hsa-miR-6736-5p,0,0,0,13,34,51,0,0,0,0,0,0,0,0,0,0,0,20,0,0
2035,hsa-miR-6737-3p,21,101,74,75,326,319,18,19,0,0,0,0,0,0,0,0,0,21,0,0
2036,hsa-miR-6737-5p,42,176,118,131,245,221,29,44,55,15,0,12,0,0,19,0,0,64,0,0
2037,hsa-miR-6738-3p,0,12,0,14,58,67,0,0,0,0,0,0,0,0,0,0,0,11,0,0
2038,hsa-miR-6738-5p,60,261,205,229,380,383,23,27,0,10,0,0,0,0,0,0,0,17,0,0
2039,hsa-miR-6739-3p,0,17,17,26,28,35,0,0,0,0,0,0,0,0,17,0,0,14,0,0
2040,hsa-miR-6739-5p,20,29,39,66,94,110,17,0,0,0,0,0,0,18,12,0,0,44,12,10
2041,hsa-miR-6740-3p,10,41,21,16,108,95,0,0,0,0,151,0,0,0,19,0,0,22,0,10
2042,hsa-miR-6740-5p,0,94,41,59,102,89,0,12,0,10,0,0,0,15,31,0,0,23,17,11
2043,hsa-miR-6741-3p,11,91,48,34,142,160,0,0,0,10,18,13,0,0,13,0,0,164,0,0
2044,hsa-miR-6741-5p,25,34,34,43,150,243,0,0,0,0,0,0,0,0,0,0,0,11,0,0
2045,hsa-miR-6742-3p,0,27,45,43,48,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,hsa-miR-6742-5p,99,130,166,152,72,82,0,0,45,46,26,0,0,0,0,0,0,15,0,0
2047,hsa-miR-6743-3p,50,91,89,62,249,193,29,44,12,38,11,0,0,0,12,0,0,29,0,0
2048,hsa-miR-6743-5p,19,136,90,86,97,113,10,12,0,0,0,0,0,0,0,0,0,18,0,0
2049,hsa-miR-6744-3p,0,14,15,19,63,84,0,14,0,0,0,0,0,0,0,0,0,12,0,0
2050,hsa-miR-6744-5p,20,85,87,79,43,55,0,50,11,0,0,15,0,0,0,0,0,10,0,0
2051,hsa-miR-6745,17,72,64,88,137,160,0,10,0,0,0,0,0,0,13,0,0,11,0,0
2052,hsa-miR-6746-3p,128,320,485,330,196,313,14,16,11,16,0,0,0,0,10,0,0,82,0,0
2053,hsa-miR-6746-5p,29,81,91,108,180,260,19,10,0,0,0,10,0,0,0,0,0,29,0,0
2054,hsa-miR-6747-3p,19,21,25,23,164,134,0,10,0,0,0,16,13,17,25,0,11,22,0,0
2055,hsa-miR-6747-5p,43,55,25,32,223,253,15,17,13,22,0,0,0,0,0,0,0,14,0,0
2056,hsa-miR-6748-3p,11,43,32,35,70,78,0,0,31,0,39,0,0,0,17,0,0,37,0,0
2057,hsa-miR-6748-5p,23,125,101,110,262,279,30,28,0,0,10,0,0,0,10,0,14,25,0,10
2058,hsa-miR-6749-3p,35,78,107,79,41,43,13,0,14,13,0,0,0,0,0,0,0,15,0,0
2059,hsa-miR-6749-5p,57,170,174,163,257,263,79,68,15,39,29,0,0,0,0,10,0,25,0,0
2060,hsa-miR-675-3p,26,82,88,107,107,124,27,24,13,13,0,23,13,19,12,0,13,22,23,27
2061,hsa-miR-675-5p,39,125,143,146,106,105,0,0,11,0,0,12,0,34,13,0,15,16,27,0
2062,hsa-miR-6750-3p,0,26,16,20,71,62,0,0,0,0,0,0,0,0,0,0,0,18,0,0
2063,hsa-miR-6750-5p,86,44,83,42,129,143,12,0,0,0,0,0,0,0,0,0,0,13,0,0
2064,hsa-miR-6751-3p,0,19,0,13,39,55,12,0,0,0,0,0,0,11,20,0,0,88,13,15
2065,hsa-miR-6751-5p,23,112,93,85,135,106,37,31,10,0,0,0,0,0,0,11,0,16,0,0
2066,hsa-miR-6752-3p,38,210,143,120,139,156,13,13,37,50,0,0,0,0,12,12,0,73,0,0
2067,hsa-miR-6752-5p,38,59,44,124,277,400,17,17,12,23,0,0,0,0,0,0,13,14,24,16
2068,hsa-miR-6753-3p,0,22,17,12,55,69,11,0,0,0,0,0,0,0,14,0,0,21,0,0
2069,hsa-miR-6753-5p,0,42,11,10,94,59,0,0,0,0,0,0,0,0,0,0,0,13,0,0
2070,hsa-miR-6754-3p,0,19,31,29,116,110,0,0,25,0,0,18,17,10,0,0,12,19,28,15
2071,hsa-miR-6754-5p,10,38,46,28,137,97,32,14,17,0,0,0,0,0,0,0,0,23,10,11
2072,hsa-miR-6755-3p,0,16,0,0,43,81,0,0,0,0,12,0,0,0,0,0,0,0,0,0
2073,hsa-miR-6755-5p,10,64,35,34,78,79,0,15,0,0,0,21,38,29,113,21,24,0,17,20
2074,hsa-miR-6756-3p,37,189,144,114,545,527,41,56,25,17,28,0,0,0,22,11,0,46,11,13
2075,hsa-miR-6756-5p,13,40,28,22,96,111,0,10,0,0,10,10,0,0,11,0,0,25,0,12
2076,hsa-miR-6757-3p,0,16,21,0,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,hsa-miR-6757-5p,43,156,133,137,488,445,37,80,43,11,0,0,0,0,12,0,0,17,0,0
2078,hsa-miR-6758-3p,15,26,24,21,44,76,0,0,0,0,0,11,0,13,34,0,0,16,14,22
2079,hsa-miR-6758-5p,43,55,53,63,216,211,26,31,0,0,0,0,0,0,16,0,0,24,13,0
2080,hsa-miR-6759-3p,0,16,14,17,70,69,0,14,0,0,0,0,0,0,0,0,0,18,0,0
2081,hsa-miR-6759-5p,16,57,68,91,39,57,0,15,0,0,18,0,0,0,0,0,0,11,0,0
2082,hsa-miR-676-3p,16,53,46,35,189,195,15,36,12,0,0,17,38,0,80,15,24,0,32,34
2083,hsa-miR-676-5p,19,38,48,79,103,98,18,15,0,0,0,0,0,0,10,0,0,14,0,0
2084,hsa-miR-6760-3p,18,68,40,48,200,222,28,29,12,0,0,0,0,0,0,0,0,23,0,0
2085,hsa-miR-6760-5p,21,35,45,38,88,165,10,14,0,10,0,0,0,0,11,0,0,21,0,0
2086,hsa-miR-6761-3p,0,22,23,13,108,105,0,0,0,0,0,0,0,0,11,0,0,16,0,0
2087,hsa-miR-6761-5p,0,56,42,51,188,284,0,0,0,13,0,14,12,0,0,0,0,10,0,0
2088,hsa-miR-6762-3p,14,36,24,29,87,90,0,0,0,0,0,10,0,0,21,0,0,0,0,0
2089,hsa-miR-6762-5p,13,112,101,118,109,137,0,11,13,0,0,0,0,0,10,0,0,15,0,0
2090,hsa-miR-6763-3p,15,63,26,41,79,150,31,0,14,0,0,0,10,0,21,0,0,26,11,0
2091,hsa-miR-6763-5p,11,55,46,50,80,79,0,18,0,0,0,0,0,0,12,0,0,17,0,0
2092,hsa-miR-6764-3p,16,61,42,46,50,64,11,10,0,0,0,0,0,0,10,0,0,26,0,12
2093,hsa-miR-6764-5p,10,37,56,38,100,145,0,0,0,0,0,0,0,0,17,0,0,23,0,0
2094,hsa-miR-6765-3p,39,284,249,288,52,86,0,0,0,0,0,0,0,0,12,0,0,13,0,0
2095,hsa-miR-6765-5p,0,23,19,20,97,144,0,0,0,0,0,0,0,0,0,0,0,70,0,0
2096,hsa-miR-6766-3p,12,51,32,24,75,83,0,15,0,0,0,0,0,0,0,0,0,22,0,0
2097,hsa-miR-6766-5p,28,168,42,43,144,180,58,18,24,0,37,0,0,0,10,0,0,14,0,0
2098,hsa-miR-6767-3p,0,29,29,30,77,72,0,37,0,0,0,0,0,0,11,0,0,15,0,0
2099,hsa-miR-6767-5p,95,335,566,470,128,131,16,0,11,10,15,12,0,0,17,0,0,13,0,0
2100,hsa-miR-6768-3p,0,56,25,34,70,73,0,0,0,0,0,0,0,0,0,0,0,17,0,0
2101,hsa-miR-6768-5p,27,161,161,220,67,72,0,0,0,11,0,22,0,0,10,10,17,222,96,34
2102,hsa-miR-6769a-3p,11,31,21,23,35,40,0,30,0,0,0,0,0,0,0,0,0,11,0,0
2103,hsa-miR-6769a-5p,98,375,202,223,59,109,0,0,69,48,16,0,0,0,0,0,0,0,0,0
2104,hsa-miR-6769b-3p,19,31,42,47,65,77,0,0,10,0,0,0,0,0,11,0,0,13,0,0
2105,hsa-miR-6769b-5p,15,59,53,56,98,115,17,12,0,0,0,0,0,0,0,0,0,0,0,0
2106,hsa-miR-6770-3p,0,35,39,34,60,80,15,0,0,0,0,0,0,0,11,0,0,0,10,0
2107,hsa-miR-6770-5p,0,42,12,18,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2108,hsa-miR-6771-3p,14,43,42,48,191,194,11,14,0,0,0,0,0,0,33,0,0,0,0,33
2109,hsa-miR-6771-5p,0,65,57,119,44,35,0,0,0,0,0,0,0,0,0,0,0,17,0,0
2110,hsa-miR-6772-3p,16,26,41,51,52,46,0,0,0,0,0,0,0,0,23,0,0,15,0,12
2111,hsa-miR-6772-5p,16,72,61,65,81,99,18,11,0,0,0,0,0,0,15,0,0,37,0,11
2112,hsa-miR-6773-3p,0,41,23,45,50,50,13,0,0,0,0,0,0,0,0,0,0,12,0,0
2113,hsa-miR-6773-5p,0,47,34,39,112,140,0,11,0,0,11,0,0,0,11,0,0,11,11,0
2114,hsa-miR-6774-3p,10,44,44,33,82,149,0,12,0,0,0,0,0,0,17,0,0,0,12,0
2115,hsa-miR-6774-5p,19,34,25,17,107,97,0,0,0,0,0,0,0,0,0,0,0,13,10,0
2116,hsa-miR-6775-3p,0,19,26,21,66,55,11,0,0,0,0,0,0,0,0,0,0,25,0,0
2117,hsa-miR-6775-5p,53,170,142,146,85,90,0,17,13,17,0,35,14,10,0,0,0,19,0,11
2118,hsa-miR-6776-3p,25,86,79,69,74,99,30,0,27,24,23,0,0,0,10,0,0,17,0,0
2119,hsa-miR-6776-5p,12,83,58,48,46,62,0,0,0,12,0,0,0,0,0,0,0,18,0,0
2120,hsa-miR-6777-3p,0,23,26,17,43,61,0,10,0,0,0,0,0,0,15,0,0,13,0,0
2121,hsa-miR-6777-5p,20,64,48,59,281,255,38,42,10,11,23,0,0,0,0,0,0,23,0,0
2122,hsa-miR-6778-3p,0,31,37,30,73,106,0,11,0,0,0,0,0,0,0,0,0,14,0,0
2123,hsa-miR-6778-5p,15,38,55,37,235,201,0,12,0,0,0,0,0,0,0,0,0,27,0,0
2124,hsa-miR-6779-3p,11,68,121,85,155,168,20,13,13,0,0,0,0,0,24,0,0,17,13,13
2125,hsa-miR-6779-5p,182,829,266,224,890,807,105,76,39,147,53,0,0,0,10,0,0,24,0,0
2126,hsa-miR-6780a-3p,0,31,23,22,50,58,0,0,0,0,0,10,11,0,19,0,0,15,0,0
2127,hsa-miR-6780a-5p,0,32,26,32,77,86,13,17,0,0,0,0,0,0,0,0,0,20,12,0
2128,hsa-miR-6780b-3p,57,91,85,119,317,306,20,22,31,0,10,0,0,0,26,0,0,21,14,21
2129,hsa-miR-6780b-5p,19,101,24,33,119,119,0,0,0,11,0,0,0,0,0,0,0,15,0,0
2130,hsa-miR-6781-3p,13,27,35,37,47,58,0,0,11,0,12,0,0,0,12,0,0,15,0,10
2131,hsa-miR-6781-5p,23,101,104,126,200,208,13,37,19,13,0,0,0,0,0,0,0,30,0,0
2132,hsa-miR-6782-3p,0,0,17,26,50,67,0,0,0,0,0,0,0,0,0,0,0,14,0,0
2133,hsa-miR-6782-5p,25,103,63,69,181,198,0,0,12,0,0,0,0,0,0,0,0,13,0,0
2134,hsa-miR-6783-3p,11,19,25,27,47,53,0,0,0,0,0,0,0,0,10,0,0,17,0,0
2135,hsa-miR-6783-5p,21,95,152,113,141,192,10,12,0,0,0,0,0,10,14,0,0,0,0,15
2136,hsa-miR-6784-3p,16,63,30,56,195,107,41,13,0,10,0,0,0,0,0,0,0,0,0,0
2137,hsa-miR-6784-5p,13,36,28,44,59,65,0,0,22,10,0,0,0,0,0,0,0,0,0,0
2138,hsa-miR-6785-3p,45,75,56,48,305,282,36,37,11,0,11,0,0,0,0,0,0,11,0,0
2139,hsa-miR-6785-5p,158,134,148,100,406,384,48,62,48,10,24,0,0,0,12,0,0,21,0,0
2140,hsa-miR-6786-3p,68,320,213,255,96,112,19,0,18,20,0,0,0,0,10,0,0,24,0,10
2141,hsa-miR-6786-5p,13,81,88,121,169,232,0,0,0,0,0,0,0,0,0,0,0,19,0,0
2142,hsa-miR-6787-3p,0,20,18,27,68,64,0,0,0,0,56,0,0,0,12,0,0,0,0,0
2143,hsa-miR-6787-5p,40,167,117,64,272,282,13,19,34,0,0,0,0,0,0,0,0,10,0,0
2144,hsa-miR-6788-3p,12,83,72,56,204,190,19,10,0,13,0,0,0,0,0,0,0,15,10,0
2145,hsa-miR-6788-5p,0,56,29,26,126,168,15,11,18,0,0,0,0,0,0,0,0,0,0,0
2146,hsa-miR-6789-3p,0,31,20,19,59,66,0,0,0,0,25,0,0,0,0,0,0,27,0,0
2147,hsa-miR-6789-5p,42,108,115,123,171,217,30,13,34,14,0,56,77,252,110,55,95,7387,310,109
2148,hsa-miR-6790-3p,19,73,58,55,120,117,13,0,0,0,14,0,0,0,0,0,0,12,0,0
2149,hsa-miR-6790-5p,28,184,61,60,225,284,14,21,24,14,0,19,0,10,19,0,0,44,0,0
2150,hsa-miR-6791-3p,0,27,19,26,89,111,15,18,0,0,0,0,0,0,17,0,0,15,0,10
2151,hsa-miR-6791-5p,14,103,34,43,66,91,11,12,0,0,0,0,0,0,0,0,0,35,0,0
2152,hsa-miR-6792-3p,26,64,38,39,173,202,14,31,14,0,0,13,0,0,20,15,12,32,11,14
2153,hsa-miR-6792-5p,20,26,35,13,93,85,22,0,0,10,0,0,0,0,0,0,0,0,0,0
2154,hsa-miR-6793-3p,50,38,34,39,86,85,0,0,0,0,0,0,0,0,11,0,0,12,0,0
2155,hsa-miR-6793-5p,84,412,114,193,191,176,42,43,30,13,12,11,0,0,15,0,10,69,0,0
2156,hsa-miR-6794-3p,50,192,148,109,214,193,28,27,36,14,14,0,0,10,15,0,0,18,0,10
2157,hsa-miR-6794-5p,15,30,37,23,53,78,0,0,26,0,0,0,0,0,0,0,0,10,0,0
2158,hsa-miR-6795-3p,10,19,10,24,62,47,13,0,0,0,0,0,11,0,12,0,0,27,0,0
2159,hsa-miR-6795-5p,21,134,106,114,629,941,26,33,0,0,0,0,0,0,13,0,0,16,0,0
2160,hsa-miR-6796-3p,49,160,215,205,103,74,0,0,0,16,0,0,0,0,0,0,0,12,10,0
2161,hsa-miR-6796-5p,39,174,204,215,164,226,27,36,16,22,12,10,0,12,14,0,0,101,0,0
2162,hsa-miR-6797-3p,13,37,37,23,78,90,14,16,0,0,18,0,0,0,14,0,0,16,0,0
2163,hsa-miR-6797-5p,182,252,330,359,118,95,11,48,117,155,50,0,0,0,21,12,0,29,0,17
2164,hsa-miR-6798-3p,43,240,102,96,130,152,0,15,0,17,0,0,0,0,0,0,0,16,0,0
2165,hsa-miR-6798-5p,12,37,37,34,80,87,0,14,0,0,0,0,0,0,0,0,0,11,0,0
2166,hsa-miR-6799-3p,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2167,hsa-miR-6799-5p,13,21,21,23,46,54,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2168,hsa-miR-6800-3p,13,49,35,50,128,133,0,14,0,0,0,0,0,0,0,0,0,14,0,0
2169,hsa-miR-6800-5p,132,278,260,383,269,324,52,66,39,36,17,0,0,0,12,0,0,15,0,0
2170,hsa-miR-6801-3p,82,116,211,267,181,196,31,35,0,0,0,0,0,0,0,0,0,12,0,0
2171,hsa-miR-6801-5p,12,32,26,29,105,112,14,0,0,0,0,0,0,0,0,0,0,17,0,10
2172,hsa-miR-6802-3p,0,39,31,36,152,164,12,12,0,0,0,0,0,0,16,0,0,0,0,0
2173,hsa-miR-6802-5p,69,317,191,157,1881,2219,99,101,54,0,10,0,0,0,14,0,0,10,0,0
2174,hsa-miR-6803-3p,38,79,65,70,97,104,19,17,0,0,0,0,0,0,11,0,0,30,0,0
2175,hsa-miR-6803-5p,26,84,69,54,116,118,17,13,20,54,15,0,0,0,0,0,0,33,11,0
2176,hsa-miR-6804-3p,0,42,29,40,71,91,0,0,0,0,0,0,0,0,0,0,0,17,0,0
2177,hsa-miR-6804-5p,0,44,14,22,67,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2178,hsa-miR-6805-3p,12,61,38,42,183,115,18,0,0,0,0,0,0,0,13,0,0,33,0,0
2179,hsa-miR-6805-5p,45,62,110,101,168,176,10,17,60,13,0,0,0,0,0,0,0,13,0,0
2180,hsa-miR-6806-3p,22,86,80,131,79,120,17,16,0,0,0,0,0,0,17,0,0,24,10,0
2181,hsa-miR-6806-5p,28,91,90,70,66,98,0,0,0,15,0,0,0,0,0,0,0,20,0,0
